Fields,Year,ALL0-4,ALL5-14,ALL15-34,ALL0-34,ALL35-69,ALL70-79,MEDICALb,MEDICALc,NONMEDb,NONMEDc,INFECTb,INFECTc,INTESTINb,INTESTINc,PULMTBb,PULMTBc,OTHERTBb,OTHERTBc,VIRALHEPb,VIRALHEPc,SCHISTOc,ALLCAb,ALLCAc,MOUTHCAc,NASOPCAc,NPConlyc,OESOPHCAc,STOMCAc,COLRECCAc,LIVERCAb,LIVERCAc,PANCRSCAc,BLADDCAc,LARYNXCAc,BREASTCAc,CERVIXCAc,BRAINCAc,LYMPHOMAc,LEUKEMIAb,LEUKEMIAc,ENDOCRINb,ENDOCRINc,DIABETESc,MALNUTRIb,MALNUTRIc,BLOODb,BLOODc,MENTALb,MENTALc,NERVOUSb,NERVOUSc,MENINGITb,MENINGITc,EPILEPSYb,EPILEPSYc,ALLVASCb,ALLVASCc,RHEUMHDb,RHEUMHDc,HYPTENSc,IHDc,IHeartDiseaseIHDc,STROKEb,STROKEc,VASC-STRb,VASC-STRc,ALLRESPb,ALLRESPc,PNEUMONb,PNEUMONc,COPDc,DIGESTIVb,DIGESTIVc,PEPULCERc,ENTCOLc,INTESTOBc,CIRRHOSb,CIRRHOSc,TOTLIVRb,TOTLIVRc,GALLBILc,GENITURc,RENALc,ALLSKINc,MUSCSKELc,ILL-DEFb,ILL-DEFc,ACCIDENTb,ACCIDENTc,ROADACCb,ROADACCc,DROWNb,DROWNc,SUICIDEb,SUICIDEc,HOMICIDEb,HOMICIDEc,INFANT,ALLCUMa,MEDICALa,NONMEDa,RESPINFa,ALLGIa,CONGENITa,NTDa,CONGENHDa,PERINATa,LOWBTHWTa,BTHTRAUMa,RDSa,NEOTETANa,MALNUTRIa,DROWNa,Total rate
BloodTotChol,0.561294973,-0.455000758,-0.443789989,-0.11317759,-0.3895998,-0.105940714,-0.128555074,-0.478294849,-0.217208907,0.017879641,0.096292786,-0.503287613,-0.362435699,-0.142482057,-0.343760014,-0.51420331,-0.265128553,-0.417244434,-0.424488574,-0.074417487,-0.12226963,0.105234191,0.335201859,0.275815219,-0.244687065,0.024284571,0.239135429,0.004201311,0.173376963,0.093443111,0.158592135,0.491251349,0.079496779,0.070038065,0.097292393,0.228262767,-0.200941741,0.343742609,0.112067364,0.464618117,0.35202229,-0.28612408,0.150942162,0.257995367,-0.137837291,-0.340811789,-0.373356551,-0.25482896,0.323789835,0.097445399,-0.136710331,-0.381485432,-0.131929606,-0.148500815,-0.346866101,-0.380757719,-0.60745734,0.112711877,-0.459241927,-0.261044204,-0.064539544,0.288268775,0.288268775,-0.054808922,0.153844967,-0.624977767,0.018370109,-0.359822065,-0.468685657,-0.337674826,-0.317805469,-0.399046481,-0.436262608,-0.499022305,-0.443293929,-0.333639294,-0.446645081,-0.453385532,-0.417148441,-0.023475092,0.124206156,0.076818578,-0.235491022,-0.332490683,-0.132152647,-0.052224487,0.139796123,0.070645779,-0.064666577,-0.136806443,0.317212909,0.257285535,-0.079428814,-0.098957211,-0.25535512,-0.254442811,-0.073136277,-0.098100342,-0.401660472,-0.455037445,-0.462492228,-0.208001927,0.025482388,-0.194095567,0.085156895,-0.010824149,0.109871656,-0.456570208,0.148654819,-0.070020959,-0.141253039,-0.516064286,-0.120432362,-0.067491643,-0.025729517
BloodHDLChol,0.272786647,-0.238098472,-0.267983615,-0.170320868,-0.225936219,-0.124568626,-0.095933512,-0.281451643,-0.202548832,0.006636838,0.127844468,-0.299462557,-0.171527535,-0.230401859,-0.235433608,-0.36156863,-0.166733384,-0.309596092,-0.32789731,0.189093083,0.165891349,0.199577138,0.151648745,0.130713552,-0.005953724,0.035085469,0.192578867,-0.110942073,0.06001129,0.237815648,0.059966262,0.394111842,0.282173544,0.15076825,-0.053384207,0.203577429,-0.094822973,0.268573195,0.11410436,0.266085327,0.249040186,-0.131103203,0.022063704,0.103036799,-0.138448372,-0.183127999,-0.15822874,-0.11589206,0.072881512,0.048467025,-0.264396191,-0.130968869,-0.135363713,-0.221763372,-0.247359529,-0.078354895,-0.460316688,-0.070350543,-0.332938343,-0.15565832,-0.105331749,-0.004909568,-0.004909568,-0.205361292,-0.014924992,-0.439817011,-0.147303596,-0.223853767,-0.325321883,-0.212531254,-0.151923671,-0.300207138,-0.243126839,-0.24421005,-0.3051202,-0.242660537,-0.245440647,-0.251215219,-0.14975962,0.002123972,0.254333079,0.396467,-0.12766628,-0.098547198,0.219688356,-0.01670819,0.025903752,0.074443191,-0.1558128,-0.103518993,-0.053895146,0.049923576,0.075636134,0.079445601,-0.044416472,0.062343627,-0.08664158,0.028574441,-0.186040238,-0.238137394,-0.249277532,-0.052913565,-0.143475145,-0.176524699,0.281220555,0.171839684,0.239408582,-0.247641623,0.253878295,-0.097260185,-0.203095242,-0.277455002,-0.123283058,0.11382392,-0.072871141
BloodNonHDLChol,0.549073219,-0.442042261,-0.415632278,-0.071477413,-0.371041626,-0.076655187,-0.112289116,-0.452225417,-0.176072568,0.0134974,0.061772112,-0.473897785,-0.357086957,-0.03865739,-0.277814537,-0.462029099,-0.246091351,-0.369049996,-0.371489018,-0.187960967,-0.228890926,0.050107993,0.330201328,0.27335301,-0.280314595,0.013035812,0.175046593,0.048021875,0.180432662,0.022138765,0.159037545,0.425394803,-0.051354438,0.025096273,0.142079622,0.190218925,-0.19984813,0.299283594,0.087491274,0.440147907,0.320695877,-0.285369635,0.165220737,0.259293675,-0.084882081,-0.300504327,-0.375199646,-0.249885648,0.34446463,0.095643856,-0.018808492,-0.384973913,-0.086591788,-0.064815275,-0.272967756,-0.404393315,-0.531854689,0.15781866,-0.406533808,-0.24521108,-0.034665789,0.337151766,0.337151766,0.010470382,0.184761405,-0.559240699,0.077050723,-0.335341752,-0.424580812,-0.3135508,-0.313480318,-0.353080928,-0.416394562,-0.490732193,-0.404325724,-0.266786546,-0.427027464,-0.403582245,-0.411545008,-0.031604726,0.016617713,-0.118358344,-0.208143428,-0.348676652,-0.268766046,-0.057115633,0.150520161,0.044206966,0.007643464,-0.109254897,0.39959085,0.272434622,-0.128142461,-0.155005321,-0.2788001,-0.334101111,-0.041626286,-0.137747258,-0.400196403,-0.442072958,-0.446123421,-0.223972395,0.105906114,-0.131958678,-0.050505258,-0.10233482,0.00201526,-0.442162871,0.03548624,-0.029668512,-0.060541544,-0.49849081,-0.072173618,-0.133716092,-0.004781553
BMI,0.327984333,-0.168805391,-0.254649758,-0.005205948,-0.111033298,0.211237058,0.147407725,-0.165921375,0.058253638,-0.100665234,-0.045839548,-0.170044467,-0.462864935,0.185201585,-0.093659326,-0.076206394,-0.451216489,-0.023051543,0.11759866,-0.227401137,-0.20386374,-0.12347766,-0.03696296,0.350175202,-0.172915131,-0.465162486,-0.49539274,0.155610278,0.433120281,0.03017633,-0.206518903,0.086459965,0.279772431,0.118542977,0.156741217,0.175740972,0.214480177,0.199517846,0.165407106,0.294952691,0.331342101,-0.169152573,0.133954823,0.29603824,-0.190142974,-0.216643065,-0.307283133,-0.094607629,0.35001269,0.193353131,0.304193079,-0.149870887,0.134808734,-0.042752489,0.047678754,-0.246483937,-0.104793131,0.314119041,-0.053691193,0.021446316,0.214342386,0.455261767,0.455261767,0.111161873,0.249299511,-0.132678434,0.351388186,-0.079362549,-0.070677683,-0.069332518,-0.156154275,-0.013512223,-0.25978142,-0.351121664,-0.29658407,-0.24894619,-0.036829166,-0.354145467,-0.326715738,-0.363003165,-0.222362265,-0.134370655,-0.179678798,-0.214137882,-0.222683206,-0.174017087,0.130592689,0.007819107,-0.121803738,-0.010065668,0.352662832,0.335033774,-0.352856517,-0.184612513,-0.231910363,-0.401194572,0.127740383,0.056968164,-0.098161809,-0.168874577,-0.165454641,-0.191302359,0.020823967,-0.075377777,0.213480636,0.303263456,0.127130479,-0.182091624,0.053787518,-0.00397814,-0.04791557,-0.216270164,-0.180439681,-0.207763523,0.238728881
KCAL,-0.232898235,0.185424849,0.163244277,-0.069253609,0.149079397,0.126900315,0.085833631,0.118855968,0.083118282,0.114563666,-0.092572078,0.154939502,0.172760203,0.026227821,-0.027696887,0.166617408,0.147928178,0.206318974,0.141887426,0.30367136,0.298146904,0.062807217,-0.224303052,0.022605292,0.11692784,-0.071377948,-0.218544051,0.128671244,0.023619004,0.187128559,-0.232184604,-0.157216385,0.027704047,-0.020316627,-0.001572888,-0.024345525,0.032318719,-0.235923469,0.05666909,-0.038845684,0.043461904,0.129372776,-0.044023927,-0.08249449,-0.007605262,0.063300654,0.024105912,0.104034863,-0.074267186,-0.133511677,0.163511395,-0.008674526,0.04332016,-0.155193985,0.284762442,0.030039707,0.201286703,-0.120595291,0.101204082,-0.106698394,0.119380705,-0.221948549,-0.221948549,-0.121891245,-0.119861446,0.235876545,-0.094925173,0.030078549,0.16908285,0.021924427,0.023863098,0.152846947,0.100216009,0.149700865,0.149364516,-0.134448752,-0.011496178,0.005304142,0.039947268,-0.222749174,-0.154766485,0.083082326,-0.064527221,-0.001128178,0.161147207,-0.056745615,0.016829681,0.011451209,0.033928715,-0.050157484,-0.050491259,0.064511694,0.165378436,0.098334625,0.069036342,0.095410369,-0.034091108,0.138825253,0.240268141,0.185441881,0.123905204,0.329257876,-0.052732863,0.028267084,0.135699928,-0.042404711,0.118981011,0.12131089,0.173453435,0.022189884,-0.122848354,0.157600015,-0.018468726,0.220843464,0.117472991
%ANIMFOOD,0,0.196022585,0.408788174,-0.140228391,0.09019731,-0.222764447,-0.324639022,0.109287769,-0.218945876,-0.00289,-0.128862008,0.115400799,0.037662536,0.051293712,-0.185585693,-0.096157774,0.115255289,-0.002832102,-0.22878772,0.057571739,0.017755693,0.243894815,0.141404316,-0.013372504,-0.208931625,0.349973559,0.348531753,-0.128190622,-0.158402801,0.041883074,0.122748166,0.312635154,0.030067187,-0.133996576,0.076958433,0.353733122,-0.170564532,0.31708765,0.038771652,0.213218808,0.071431503,0.109016247,-0.253077418,-0.187025949,0.099015474,-0.151610076,0.080550455,-0.17094478,0.475800067,0.16417551,0.080585949,-0.301459819,0.049440406,0.001489817,-0.259600848,-0.311422527,-0.163813218,-0.137860388,-0.066427052,-0.158517107,0.205111295,-0.115337618,-0.115337618,-0.354716957,-0.183955953,-0.079550579,-0.033542633,0.220710769,-0.268728316,0.244683981,-0.172802478,-0.257709742,-0.111552157,-0.276806086,-0.294607818,-0.206112638,-0.292966098,-0.217962041,-0.247149736,0.040211465,0.168193102,0.206332877,-0.071438126,-0.011932251,0.070652753,0.004090312,0.259031028,0.052961864,-0.092963271,-0.014061416,0.217572957,0.304609567,0.054774381,0.227922782,-0.215857014,-0.170052111,0.00312071,-0.053174343,0.083297975,0.195884377,0.1628225,0.168651834,0.264076084,0.048430376,0.022233753,-0.110703997,-0.002858471,-0.022213971,0.130664155,-0.038340177,-0.10494823,-0.046301037,0.11538399,0.10033863,-0.135428369
%ANIMPROT,0.141426429,-0.132892385,-0.110941865,-0.125435024,-0.179961309,-0.234384999,-0.241242528,-0.184323594,-0.226015046,0.097657703,0.052952051,-0.211718902,-0.040947229,-0.089080781,-0.221636131,-0.283204824,0.031028572,-0.189298779,-0.291032612,0.117142156,0.023786964,0.183293268,0.199294999,-0.018979447,-0.102290779,0.435391575,0.475524843,-0.247936547,-0.077097669,0.067991659,0.13593027,0.394633204,0.126409769,-0.013331238,0.053516284,0.271952778,-0.218955353,0.298693776,0.173073202,0.255682349,0.128420144,-0.048345454,-0.040938579,0.043695357,0.060644656,-0.162195042,-0.14539814,-0.259386003,0.216854528,0.1105223,-0.104483187,-0.292043507,-0.113325752,-0.026296597,-0.278199583,-0.289414585,-0.415570378,-0.164870486,-0.311250895,-0.231980532,-0.107445359,-0.060333788,-0.060333788,-0.245168194,-0.123754486,-0.384619892,-0.196576059,-0.14015545,-0.203340486,-0.124577567,-0.218145207,-0.16090633,-0.203718051,-0.292139351,-0.24450852,-0.191098303,-0.292462498,-0.2157664,-0.188763767,0.082247376,0.315714419,0.3972103,-0.04675898,-0.123483963,0.180359676,0.010291957,0.159102589,-0.039069612,-0.054891065,-0.002669597,0.080970541,0.194128305,0.149660349,0.236692086,-0.118713416,-0.086824276,-0.064624332,-0.002472165,-0.191416755,-0.132934839,-0.152536288,0.046032052,0.052340902,-0.046230905,0.086511619,-0.096331552,0.082816198,-0.153470114,0.148794428,-0.042947844,-0.051137913,-0.229255915,0.073867664,0.16506511,-0.165471286
%ANPRKCAL,0.140977621,-0.154059768,-0.122132376,-0.151991501,-0.202391699,-0.206243798,-0.241565034,-0.196699589,-0.189659253,0.041670755,0.035233196,-0.215109304,-0.094485253,-0.10103263,-0.228029847,-0.274655074,-0.037886404,-0.170776442,-0.238696322,0.071963102,0.016746171,0.156425729,0.154999584,0.014127859,-0.099250369,0.367257327,0.404877305,-0.208827525,-0.05272897,0.05574185,0.097008884,0.37993139,0.134200647,-0.006630911,0.079026408,0.303470135,-0.193686515,0.33373031,0.179293811,0.239512622,0.107734844,-0.082889326,-0.061586708,0.035187345,0.019070204,-0.173670873,-0.161140367,-0.255011529,0.275489211,0.158306837,-0.100814231,-0.307305992,-0.136549965,-0.029923713,-0.27749455,-0.321861595,-0.399192542,-0.12541303,-0.291994691,-0.214403585,-0.094866708,-0.0226194,-0.0226194,-0.240071282,-0.085493304,-0.36854127,-0.16414462,-0.134418368,-0.172365114,-0.118829295,-0.208485737,-0.128184959,-0.222091943,-0.301451266,-0.262339979,-0.195869386,-0.251454264,-0.266517639,-0.207313642,0.023051465,0.300493389,0.362220645,-0.07326436,-0.131587297,0.138317734,0.020093879,0.134217367,-0.030825019,-0.063311875,0.024138937,0.104721159,0.216056734,0.074978754,0.217407212,-0.129605994,-0.109767891,-0.063316867,-0.0128022,-0.200579673,-0.154122159,-0.166527569,-0.000109668,0.046385106,-0.083520889,0.053945366,-0.069547094,0.046992637,-0.170913622,0.104678757,-0.06407088,-0.056072637,-0.225738063,0.033529937,0.08453273,-0.165732265
%CARBKCAL,-0.074954309,0.169414565,0.120801091,0.133552819,0.206728473,0.34106034,0.280619651,0.205178142,0.320139498,-0.044953149,0.009364569,0.229785755,0.075661272,0.109401427,0.086425275,0.313878059,0.066137701,0.16717042,0.372452527,0.055945292,0.068788469,-0.292695671,-0.249857023,0.157764271,0.140988857,-0.29328692,-0.312598556,0.394734114,0.161050066,-0.104593456,-0.200400516,-0.320849538,-0.243728518,-0.061228301,-0.104066677,-0.255201936,0.295292884,-0.250916958,-0.147423923,-0.148695469,-0.191011861,0.042426385,0.051817175,-0.024932468,-0.112316646,0.037454989,0.137425989,0.21372658,-0.241441205,-0.224168465,0.067719884,0.214474618,0.061571203,0.131864727,0.262872696,0.156320781,0.341618508,0.195610419,0.264417678,0.123581633,0.131378472,0.025638569,0.025638569,0.115725406,0.189953908,0.333903819,0.160410389,0.145052761,0.127772659,0.136689931,0.16251193,0.092109829,0.207893267,0.387722671,0.382404506,0.051666345,0.287824571,0.280007869,0.318767101,-0.04450937,-0.160105199,-0.227300465,0.11522074,0.221730828,-0.142825589,0.049229462,-0.17689386,-0.05209795,-0.072939888,0.00958052,-0.252062649,-0.271401972,-0.245413929,-0.357450098,0.265586346,0.13480477,-0.062750995,-0.069155589,0.250430346,0.169489041,0.18773964,-0.0373368,-0.056968756,0.058179248,-0.128415629,0.068080075,-0.186026081,0.244579569,-0.190063342,0.143050805,0.161280096,0.272727013,-0.117177643,-0.246324345,0.284087807
%FATKCAL,0.272053182,-0.185869247,-0.156174317,-0.071871631,-0.194094792,-0.293457389,-0.251322508,-0.216026664,-0.326200068,0.081364147,0.024737537,-0.23407957,-0.11223083,-0.112295963,-0.075214617,-0.320692211,-0.103313982,-0.259107709,-0.40774557,0.022322737,-0.028708478,0.243551031,0.254512459,-0.103227884,-0.105845049,0.255321413,0.390916854,-0.359947592,-0.129576296,0.099132113,0.172867537,0.330346942,0.19536981,0.032736685,0.121846892,0.2409226,-0.353604555,0.291860342,0.184388548,0.238787428,0.307517976,-0.112513706,0.038277328,0.065999247,0.132632628,0.028461974,-0.163407341,-0.223974779,0.201698095,0.204371959,-0.047064204,-0.212302089,-0.030945197,-0.179589957,-0.20108211,-0.114881821,-0.376921535,-0.153483391,-0.244686052,-0.075719506,-0.148701608,0.012146401,0.012146401,-0.072486661,-0.142752677,-0.379925996,-0.136417389,-0.126851797,-0.144325882,-0.115374587,-0.194050625,-0.096314564,-0.219789699,-0.429403305,-0.393263757,-0.061874073,-0.319862157,-0.248880491,-0.298169881,0.061736841,0.142559573,0.210151091,-0.107737139,-0.260089427,0.199776068,-0.044185013,0.201245904,0.098370992,0.094097063,-0.038275309,0.232563019,0.268393576,0.351369292,0.362163663,-0.229664251,-0.085632756,0.060832672,0.089272931,-0.246592551,-0.185919836,-0.20287028,0.014567999,0.058450956,-0.029169144,0.119554572,-0.137167931,0.18642205,-0.245425463,0.251176924,-0.153412312,-0.228947639,-0.279433846,0.135277271,0.362330467,-0.136401594
%MUFA,-0.28412649,0.364468902,0.437296242,0.113215588,0.324163914,-0.204693809,-0.3020612,0.313823879,-0.156546503,0.374178171,0.053792935,0.316494018,0.569355488,-0.07225842,0.083459921,0.192427009,0.592441857,0.18440333,-0.148347557,0.111175939,-0.003977763,0.213242322,0.098382331,-0.341423839,-0.104994558,0.361768484,0.454481125,-0.307446182,-0.365645289,0.021942984,0.136334971,0.022218784,-0.266905189,-0.033585969,-0.048329782,0.05051868,-0.296612859,-0.023920659,-0.011090596,-0.047243331,-0.147357091,0.414343387,-0.228069738,-0.383687824,0.309973061,0.217121318,0.263545215,-0.071908578,-0.028058989,-0.012406106,-0.166122541,-0.084865019,0.073289923,0.067465805,-0.196905062,-0.194901943,0.014740879,-0.459927559,0.032303777,-0.076292813,-0.203307703,-0.497724354,-0.497724354,-0.110465787,-0.422279686,0.038214874,-0.418715507,0.223809183,0.108904555,0.215559155,0.14122428,0.059970591,0.359243959,0.16987446,0.188636348,0.156150445,-0.026844664,0.176146001,0.099662222,0.284261853,0.209025815,0.149813831,0.093573183,0.128788546,0.348986447,0.207518309,0.151704147,0.046162061,0.143269539,0.055387218,-0.064979911,0.043514833,0.380779922,0.241830319,0.219475001,0.257394999,0.068772472,0.143605366,0.217687115,0.36451447,0.325901985,0.423710108,0.133914053,0.131928355,-0.05960634,-0.358977646,-0.007815139,0.232070059,0.138940632,-0.082426421,-0.13295953,0.296604663,0.296709657,0.259619772,-0.072583303
%PLNTFOOD,-0.002693037,-0.195839047,-0.409475923,0.140127286,-0.090227328,0.223381341,0.325520068,-0.109202392,0.219658807,0.002591929,0.128548399,-0.115193613,-0.037697501,-0.050752208,0.18596293,0.096096754,-0.116177648,0.002560093,0.228413001,-0.057832956,-0.017213352,-0.242236301,-0.141521111,0.013140576,0.20972994,-0.351389527,-0.349761039,0.128446221,0.157500967,-0.041288387,-0.123099968,-0.312628478,-0.029909039,0.135567442,-0.076186195,-0.353994757,0.17201969,-0.317406684,-0.039881352,-0.214128032,-0.072422385,-0.11008127,0.253638864,0.187215075,-0.100399204,0.151950851,-0.080830924,0.170955837,-0.475117534,-0.164198548,-0.081295162,0.302592665,-0.050065205,-0.001643545,0.258233994,0.313244641,0.164888144,0.139873728,0.066943988,0.15929845,-0.203666911,0.117422506,0.117422506,0.354569614,0.185575634,0.080776878,0.035732124,-0.220296666,0.268686831,-0.244230151,0.173168287,0.257632971,0.11101532,0.276175112,0.293684274,0.205942944,0.292817593,0.217731118,0.24729684,-0.040589347,-0.168100625,-0.207601309,0.071018919,0.011578238,-0.071858376,-0.006058181,-0.259206682,-0.052121907,0.092220418,0.013347063,-0.217087209,-0.305836946,-0.055501681,-0.228268385,0.214844316,0.169605121,-0.001898774,0.053147767,-0.082987078,-0.195696279,-0.162718147,-0.168275073,-0.263571352,-0.048639223,-0.021981778,0.112482361,0.003994278,0.022601943,-0.130933046,0.038649254,0.104996584,0.046532296,-0.116815664,-0.100465268,0.136123806
PLNTFOOD,0.000653766,0.016894167,-0.214220196,0.2636168,0.105651818,0.307506233,0.310917735,0.024220847,0.273060977,0.237994909,0.368859887,0.048628073,0.117507719,-0.022995858,0.087632336,0.273099184,-0.027256291,0.227216899,0.296764463,0.204257607,0.180784792,0.009779789,-0.237212598,-0.00493992,0.186496332,-0.321618289,-0.328269064,-0.029868241,0.101628646,0.183480158,-0.237951592,-0.216990888,0.04990869,0.20478034,-0.115161546,-0.185489774,0.065352984,-0.018771227,0.160454661,-0.23260428,0.022788115,-0.084475823,0.12076816,0.028897475,-0.064554848,0.206406459,-0.202646762,0.084404163,-0.212615654,-0.081065349,0.133204415,0.203204185,0.070334338,0.080077469,0.380379975,0.125628352,0.148911342,0.011295047,0.143536925,0.063100733,0.000231072,-0.023769174,-0.023769174,-0.002482,0.011480429,0.163368866,0.007162882,-0.041364733,0.536605358,-0.061828513,0.25193879,0.52815032,0.084434696,0.234248027,0.223701611,0.089682914,0.237551689,0.096841194,0.229326278,-0.178758249,-0.088551715,0.114198685,0.067916617,0.03485072,0.161043897,0.04654434,-0.143880561,0.015043247,0.219730541,0.212273031,-0.188407749,-0.068326555,0.084921591,0.077307492,0.336061478,0.306939453,-0.019612363,0.313438922,0.102877088,0.016960278,-0.018937457,0.150583833,-0.077731684,0.018068701,0.066133529,0.008538451,0.087066963,0.063619733,0.086865567,0.028521493,-0.046609443,-0.150535643,-0.07440123,0.081089303,0.343624324
PLNTPROT,-0.26395604,0.115367621,0.091846101,-0.075374506,0.099947914,0.186252013,0.189397693,0.122104265,0.179996356,-0.161853403,-0.224031806,0.172047421,-0.034824811,0.094831891,0.074463196,0.232505366,-0.164547443,0.22701408,0.39171344,-0.109461986,0.035422556,-0.052718822,-0.370926619,0.023981825,-0.064454742,-0.424579173,-0.58273685,0.19453153,0.088632502,0.038505808,-0.31592387,-0.367459059,0.025318112,0.028463643,0.031177057,-0.120686911,0.177109689,-0.183231845,-0.164571047,-0.236405209,-0.138418496,-0.034454655,-0.006784357,0.033947561,-0.181380317,-0.055303015,0.118449032,0.283045262,-0.012801973,-0.057352338,0.185060412,0.152772382,0.069451042,-0.03870802,0.239637583,0.121737964,0.400718331,0.097664453,0.258361697,0.116562933,0.180222496,0.036641952,0.036641952,0.111387171,0.038730029,0.396747679,0.174989536,0.096191823,0.259732515,0.081742719,0.170810699,0.224057078,0.068611614,0.223581493,0.200383544,-0.000129463,0.280001819,-0.063269764,0.022352217,-0.328070164,-0.368025601,-0.314467639,-0.061245039,0.082089953,-0.228474706,-0.152161151,-0.102775849,-0.031454861,-0.073035859,-0.026746478,0.092990115,-0.015360419,-0.361454397,-0.216076881,-0.084202394,-0.141789541,0.06025761,-0.02606252,0.204240128,0.11530567,0.111222148,0.031031126,-0.043010153,-0.055874929,0.079661041,0.248215541,0.034079771,0.127077252,-0.094260737,0.07052356,0.067027926,0.201840281,-0.187407464,-0.341129035,0.066475563
%PLNTPROT,-0.141415343,0.131723866,0.10962946,0.125619516,0.179101095,0.234578967,0.241508022,0.183212355,0.225756645,-0.097674489,-0.051987108,0.210609719,0.039787993,0.088910773,0.221159101,0.282400489,-0.031852487,0.188477382,0.289861113,-0.116543256,-0.023676217,-0.183628321,-0.198684201,0.019994747,0.103549704,-0.436086714,-0.476077497,0.248521939,0.07788109,-0.067923479,-0.135557666,-0.393797547,-0.125776753,0.013327676,-0.053929355,-0.271590382,0.218641132,-0.298472255,-0.172098368,-0.254879683,-0.127269968,0.04742112,0.040857323,-0.043340713,-0.060954258,0.161217943,0.144261628,0.258456916,-0.216787443,-0.110949643,0.103883483,0.291935474,0.11310707,0.025770666,0.277496636,0.288989395,0.414296985,0.165468603,0.310815483,0.23144944,0.107791983,0.060972951,0.060972951,0.244984239,0.124468058,0.383324713,0.196846172,0.139265731,0.202360675,0.123726927,0.217166811,0.160182804,0.202779263,0.291038662,0.243406609,0.190290615,0.291460216,0.21584779,0.188742772,-0.081927873,-0.315320998,-0.396947652,0.04600732,0.122482009,-0.179886892,-0.010445188,-0.158860043,0.038768899,0.054495111,0.002223151,-0.081960514,-0.194643259,-0.14908658,-0.237069145,0.119698614,0.0874606,0.064189866,0.001570125,0.190470159,0.131775007,0.151388377,-0.046825614,-0.052588336,0.04602984,-0.086464249,0.095917977,-0.082346424,0.152311653,-0.149643391,0.04247788,0.050338473,0.22804305,-0.074103341,-0.164080814,0.165984064
%PLPRKCAL,-0.105594419,-0.015401438,-0.038333185,-0.031050105,-0.004411952,0.139005169,0.18381165,0.044061333,0.161690861,-0.276239961,-0.166447341,0.07426291,-0.191848963,0.089610152,0.108408943,0.135979429,-0.326396108,0.095747732,0.338791549,-0.34946844,-0.172483459,-0.117040046,-0.284072578,0.028709488,-0.150423527,-0.483775854,-0.543870091,0.136039451,0.112318911,-0.099886432,-0.218984693,-0.317709923,0.042761084,0.064135492,0.005618171,-0.123467833,0.207791507,-0.01607134,-0.235778362,-0.239790574,-0.180492833,-0.148073837,0.014071475,0.101314813,-0.212973997,-0.118457146,0.087772392,0.218291461,0.041679576,0.031748999,0.095618226,0.216169268,0.043153614,0.089904189,0.0797728,0.149918258,0.31095022,0.225803196,0.23812367,0.234461784,0.115855493,0.228258818,0.228258818,0.220183283,0.160284236,0.28032741,0.285420537,0.087545246,0.177314788,0.076510541,0.181130946,0.150573596,-0.00875485,0.148529619,0.122478276,0.10058514,0.34183073,-0.081087813,-0.018924898,-0.238098294,-0.312684417,-0.377774417,-0.022327334,0.090063177,-0.354875296,-0.096377917,-0.142434672,-0.049430113,-0.101793796,0.027238533,0.150346979,-0.047315963,-0.545505524,-0.302744091,-0.155413479,-0.237788901,0.099930577,-0.104822189,0.049425416,-0.015482452,0.029313628,-0.227129504,-0.007816255,-0.08968173,-0.004174558,0.351558924,-0.062565163,0.057485614,-0.242152497,0.047960207,0.184101567,0.105406776,-0.212430939,-0.564163744,-0.000282069
%PROTKCAL,-0.022414349,-0.114009596,-0.118270457,-0.134441748,-0.136357099,0.013917546,0.032650433,-0.081260525,0.050676011,-0.268330932,-0.160089374,-0.060833,-0.269764215,0.022594476,-0.067780405,-0.038136259,-0.376849681,-0.005623973,0.210538939,-0.330510408,-0.1866941,-0.021922918,-0.199685395,0.041460648,-0.251578063,-0.274488717,-0.276000291,0.005417733,0.088020027,-0.070178777,-0.170030281,-0.085729562,0.151824251,0.066403367,0.065213606,0.076589398,0.098090023,0.212675005,-0.13758336,-0.09519472,-0.128174409,-0.210572302,-0.031074962,0.130065694,-0.210064411,-0.283007979,-0.012194302,0.062057678,0.284047782,0.175881431,0.029644242,-0.017288797,-0.058677923,0.080974557,-0.141419992,-0.105227172,0.067614086,0.159472436,0.056835465,0.106448621,0.064611837,0.229872271,0.229872271,0.081876792,0.115399256,0.054032244,0.198090807,0.008662679,0.077622324,0.007521846,0.057421755,0.07819055,-0.159736916,-0.039909214,-0.040601745,-0.047641914,0.202408031,-0.306682587,-0.19290565,-0.241195619,-0.099325024,-0.110803597,-0.078439437,0.015288988,-0.286298513,-0.081345737,-0.036381744,-0.075348869,-0.161814362,0.047056243,0.251225173,0.131744802,-0.526795745,-0.147739276,-0.280670583,-0.355547845,0.05280824,-0.117483124,-0.075277403,-0.114134721,-0.07621032,-0.241969362,0.046023428,-0.159784347,0.036465555,0.32785207,-0.036181603,-0.048109245,-0.178668141,-0.000324297,0.153510481,-0.0322388,-0.197292224,-0.537656307,-0.111565977
